# Snapshot.Num Simulation.Time Coverage Rms.Height
1 0.2 0.197952 0.398494
2 0.400022 0.396408 0.489151
3 0.6 0.59758 0.49051
4 0.800001 0.798248 0.402523
5 1 0.998749 0.247297
6 1.2 1.20012 0.406559
7 1.4 1.40004 0.493197
8 1.6 1.60233 0.491595
9 1.8 1.80522 0.401046
10 2 2.00571 0.285981
11 2.20001 2.20566 0.417405
12 2.4 2.40572 0.496346
13 2.60001 2.60696 0.49188
14 2.8 2.8062 0.404962
15 3 3.00632 0.306918
16 3.20002 3.20255 0.417867
17 3.40004 3.40233 0.496736
18 3.6 3.60152 0.493683
19 3.8 3.80145 0.407197
20 4 4.00404 0.310539
