# Snapshot.Num Simulation.Time Coverage Rms.Height
1 0.200587 0.198471 0.398849
2 0.400587 0.399902 0.490065
3 0.600587 0.598831 0.491286
4 0.800587 0.800049 0.408532
5 1.00059 1.00002 0.287872
6 1.20059 1.20216 0.419054
7 1.40059 1.40195 0.499052
8 1.60059 1.59875 0.496276
9 1.80059 1.79622 0.419254
10 2.00059 1.9976 0.322227
11 2.20059 2.20023 0.42556
12 2.40059 2.399 0.501546
13 2.60059 2.60083 0.499354
14 2.80059 2.79898 0.428652
15 3.00059 3.00069 0.35054
16 3.20059 3.2016 0.434779
17 3.40059 3.40237 0.504306
18 3.60059 3.60255 0.502325
19 3.80059 3.80177 0.434347
20 4.00059 3.99821 0.36231
21 4.20059 3.99821 0.362141
22 4.40059 3.99821 0.362141
