# Snapshot.Num Simulation.Time Coverage Rms.Height
1 0.200007 0.193924 0.39537
2 0.400007 0.395386 0.488933
3 0.600007 0.592941 0.491286
4 0.800007 0.792633 0.40591
5 1.00001 0.992416 0.236811
6 1.20001 1.1929 0.401097
7 1.40001 1.3968 0.492623
8 1.60001 1.59532 0.492846
9 1.80001 1.79332 0.408862
10 2.00001 1.99632 0.276106
11 2.20001 2.19487 0.406068
12 2.40001 2.395 0.492738
13 2.60001 2.59499 0.493159
14 2.80001 2.79454 0.41037
15 3.00001 2.99307 0.285206
16 3.20001 3.1897 0.408865
17 3.40001 3.39125 0.493502
18 3.60001 3.59253 0.494768
19 3.80001 3.79146 0.411935
20 4.00001 3.99155 0.300789
21 4.20001 3.99155 0.300485
22 4.40001 3.99155 0.300485
