# Snapshot.Num Simulation.Time Coverage Rms.Height
1 0.200004 0.200287 0.400215
2 0.400004 0.398712 0.489633
3 0.600004 0.599777 0.490006
4 0.800004 0.801147 0.401804
5 1 0.997284 0.24299
6 1.2 1.2016 0.409253
7 1.4 1.40041 0.493673
8 1.6 1.60234 0.491623
9 1.8 1.80489 0.399433
10 2 2.00281 0.266012
11 2.2 2.20457 0.41285
12 2.4 2.40263 0.494333
13 2.6 2.60252 0.492453
14 2.8 2.80301 0.404308
15 3 3.00282 0.290497
16 3.2 3.20459 0.41782
17 3.4 3.40659 0.496756
18 3.6 3.60782 0.491973
19 3.8 3.81187 0.39797
20 4 4.0099 0.299652
21 4.2 4.0099 0.299398
22 4.4 4.0099 0.299398
