# Snapshot.Num Simulation.Time Coverage Rms.Height
1 0.200007 0.196106 0.397088
2 0.400006 0.395493 0.488987
3 0.600004 0.595917 0.491025
4 0.800001 0.795563 0.404989
5 1 0.995621 0.233061
6 1.2 1.19591 0.403607
7 1.4 1.39647 0.492304
8 1.60003 1.5963 0.492563
9 1.8 1.79723 0.404336
10 2 1.99638 0.263031
11 2.20006 2.19656 0.409129
12 2.40003 2.39537 0.493651
13 2.6 2.59619 0.494007
14 2.8 2.79692 0.4088
15 3 2.99722 0.292147
16 3.2 3.196 0.408971
17 3.4 3.39503 0.493827
18 3.6 3.59547 0.494362
19 3.8 3.79491 0.412296
20 4 3.99686 0.30412
