# Snapshot.Num Simulation.Time Coverage Rms.Height
1 2.27273 0.00755424 0.0866794
2 4.54545 0.0152537 0.122692
3 6.81818 0.0232034 0.150603
4 9.09091 0.0306608 0.172491
5 11.3637 0.0380617 0.191556
6 13.6364 0.0453981 0.208369
7 15.9091 0.052807 0.2239
8 18.1818 0.060563 0.238865
9 20.4545 0.0683997 0.25259
10 22.7273 0.0760185 0.265423
11 25 0.0837503 0.277333
12 27.2728 0.0911674 0.288239
13 29.5455 0.0986812 0.298612
14 31.8182 0.106873 0.3095
15 34.091 0.114185 0.318746
16 36.3636 0.121691 0.327718
17 38.6364 0.129156 0.336046
18 40.9091 0.136751 0.344077
19 43.1818 0.14441 0.351964
20 45.4545 0.152094 0.359808
21 47.7275 0.152094 0.359695
22 50 0.152094 0.359628
