22 22
0 0 0.65
0 1 0.65
0 2 0.65
0 3 0.65
0 4 0.65
0 5 0.65
0 6 0.65
0 7 0.65
0 8 0.65
0 9 0.65
0 10 0.65
0 11 0.65
0 12 0.65
0 13 0.65
0 14 0.65
0 15 0.65
0 16 0.65
0 17 0.65
0 18 0.65
0 19 0.65
0 20 0.65
0 21 0.65
1 0 0.65
1 1 0.67
1 2 0.67
1 3 0.67
1 4 0.67
1 5 0.67
1 6 0.67
1 7 0.67
1 8 0.67
1 9 0.67
1 10 0.67
1 11 0.67
1 12 0.67
1 13 0.67
1 14 0.67
1 15 0.67
1 16 0.67
1 17 0.67
1 18 0.67
1 19 0.67
1 20 0.67
1 21 0.65
2 0 0.65
2 1 0.67
2 2 0.69
2 3 0.69
2 4 0.69
2 5 0.69
2 6 0.69
2 7 0.69
2 8 0.69
2 9 0.69
2 10 0.69
2 11 0.69
2 12 0.69
2 13 0.69
2 14 0.69
2 15 0.69
2 16 0.69
2 17 0.69
2 18 0.69
2 19 0.69
2 20 0.67
2 21 0.65
3 0 0.65
3 1 0.67
3 2 0.69
3 3 0.71
3 4 0.71
3 5 0.71
3 6 0.71
3 7 0.71
3 8 0.71
3 9 0.71
3 10 0.71
3 11 0.71
3 12 0.71
3 13 0.71
3 14 0.71
3 15 0.71
3 16 0.71
3 17 0.71
3 18 0.71
3 19 0.69
3 20 0.67
3 21 0.65
4 0 0.65
4 1 0.67
4 2 0.69
4 3 0.71
4 4 0.73
4 5 0.73
4 6 0.73
4 7 0.73
4 8 0.73
4 9 0.73
4 10 0.73
4 11 0.73
4 12 0.73
4 13 0.73
4 14 0.73
4 15 0.73
4 16 0.73
4 17 0.73
4 18 0.71
4 19 0.69
4 20 0.67
4 21 0.65
5 0 0.65
5 1 0.67
5 2 0.69
5 3 0.71
5 4 0.73
5 5 0.75
5 6 0.75
5 7 0.75
5 8 0.75
5 9 0.75
5 10 0.75
5 11 0.75
5 12 0.75
5 13 0.75
5 14 0.75
5 15 0.75
5 16 0.75
5 17 0.73
5 18 0.71
5 19 0.69
5 20 0.67
5 21 0.65
6 0 0.65
6 1 0.67
6 2 0.69
6 3 0.71
6 4 0.73
6 5 0.75
6 6 0.77
6 7 0.77
6 8 0.77
6 9 0.77
6 10 0.77
6 11 0.77
6 12 0.77
6 13 0.77
6 14 0.77
6 15 0.77
6 16 0.75
6 17 0.73
6 18 0.71
6 19 0.69
6 20 0.67
6 21 0.65
7 0 0.65
7 1 0.67
7 2 0.69
7 3 0.71
7 4 0.73
7 5 0.75
7 6 0.77
7 7 0.79
7 8 0.79
7 9 0.79
7 10 0.79
7 11 0.79
7 12 0.79
7 13 0.79
7 14 0.79
7 15 0.77
7 16 0.75
7 17 0.73
7 18 0.71
7 19 0.69
7 20 0.67
7 21 0.65
8 0 0.65
8 1 0.67
8 2 0.69
8 3 0.71
8 4 0.73
8 5 0.75
8 6 0.77
8 7 0.79
8 8 0.81
8 9 0.81
8 10 0.81
8 11 0.81
8 12 0.81
8 13 0.81
8 14 0.79
8 15 0.77
8 16 0.75
8 17 0.73
8 18 0.71
8 19 0.69
8 20 0.67
8 21 0.65
9 0 0.65
9 1 0.67
9 2 0.69
9 3 0.71
9 4 0.73
9 5 0.75
9 6 0.77
9 7 0.79
9 8 0.81
9 9 0.83
9 10 0.83
9 11 0.83
9 12 0.83
9 13 0.81
9 14 0.79
9 15 0.77
9 16 0.75
9 17 0.73
9 18 0.71
9 19 0.69
9 20 0.67
9 21 0.65
10 0 0.65
10 1 0.67
10 2 0.69
10 3 0.71
10 4 0.73
10 5 0.75
10 6 0.77
10 7 0.79
10 8 0.81
10 9 0.83
10 10 0.85
10 11 0.85
10 12 0.83
10 13 0.81
10 14 0.79
10 15 0.77
10 16 0.75
10 17 0.73
10 18 0.71
10 19 0.69
10 20 0.67
10 21 0.65
11 0 0.65
11 1 0.67
11 2 0.69
11 3 0.71
11 4 0.73
11 5 0.75
11 6 0.77
11 7 0.79
11 8 0.81
11 9 0.83
11 10 0.85
11 11 0.85
11 12 0.83
11 13 0.81
11 14 0.79
11 15 0.77
11 16 0.75
11 17 0.73
11 18 0.71
11 19 0.69
11 20 0.67
11 21 0.65
12 0 0.65
12 1 0.67
12 2 0.69
12 3 0.71
12 4 0.73
12 5 0.75
12 6 0.77
12 7 0.79
12 8 0.81
12 9 0.83
12 10 0.83
12 11 0.83
12 12 0.83
12 13 0.81
12 14 0.79
12 15 0.77
12 16 0.75
12 17 0.73
12 18 0.71
12 19 0.69
12 20 0.67
12 21 0.65
13 0 0.65
13 1 0.67
13 2 0.69
13 3 0.71
13 4 0.73
13 5 0.75
13 6 0.77
13 7 0.79
13 8 0.81
13 9 0.81
13 10 0.81
13 11 0.81
13 12 0.81
13 13 0.81
13 14 0.79
13 15 0.77
13 16 0.75
13 17 0.73
13 18 0.71
13 19 0.69
13 20 0.67
13 21 0.65
14 0 0.65
14 1 0.67
14 2 0.69
14 3 0.71
14 4 0.73
14 5 0.75
14 6 0.77
14 7 0.79
14 8 0.79
14 9 0.79
14 10 0.79
14 11 0.79
14 12 0.79
14 13 0.79
14 14 0.79
14 15 0.77
14 16 0.75
14 17 0.73
14 18 0.71
14 19 0.69
14 20 0.67
14 21 0.65
15 0 0.65
15 1 0.67
15 2 0.69
15 3 0.71
